Project,It,"DataQual
","TeamSize
",FpAppTot,FpDevIt,EnhAdjFac,MainAdj,AfpApp,AfpDev,ManDayIt,ProductiveIt,LocJavaTotal,LocJavaIt,LocVUEtotal,LocVUEit,LocByAfpJava+VUE,LocByAfpJava,LocByAfpVUE,TestCasesTotal,TstcByAfpTotal,MandayTst,AutoTstRate,TstCasesManual,MandayManualTst,TstProductivityManual,TstCasesAuto,MandayAutoTst,TstProductivityAuto,DefectCount,ButRate,DefectDens,FpAppTot,FpDevIt,EnhAdjFac,MainAdj,MandayItTotal,LocJavaTotal,LocJavaIt,LocVUEtotal,LocVUEiter,TstCasesManual,MandayManualTst,TstCasesAuto,MandayAutoTst,BugCount
P0,P0,,,,,,,,,,100,,,,,,0,,,100,,100%,,,,,,100,,,0,,,,,,,,,,,,,,
P0,P10,,,,,,,,,,3.64,,,,,,14,,,2,,98%,,,,,,25,,,0.05,,,,,,,,,,,,,,
P0,P25,,,,,,,,,,2.03,,,,,,20.5,,,1.5,,95%,,,,,,20,,,0.15,,,,,,,,,,,,,,
P0,P50,,,,,,,,,,1.12,,,,,,27,,,1.2,,90%,,,,,,15,,,0.33,,,,,,,,,,,,,,
P0,P75,,,,,,,,,,0.65,,,,,,53,,,0.8,,50%,,,,,,10,,,0.62,,,,,,,,,,,,,,
P0,P90,,,,,,,,,,0.45,,,,,,134,,,0.1,,10%,,,,,,5,,,1.18,,,,,,,,,,,,,,
P0,P100,,,,,,,,,,0.00,,,,,,10000,,,0,,0%,,,,,,0,,,100,,,,,,,,,,,,,,
P1,P1-1,1.2,,334.8,334.8,1.00 ,1.00 ,401.76,401.76 ,168,2.39,11670,2836,8998,1636,26.62 ,29.05,22.40,111,0.28,12,0%,111,12,9.25,0,0,#DIV/0!,52,4.33,0.13,334.8,334.8,1,1,168.00,11670,2836,8998,1636,111 ,12 ,0 ,0 ,52 
P1,P1-2,1.2,,707.4,372.6,0.68 ,1.00 ,580.63 ,305.83 ,90,3.40,14218,2548,10517,1519,45.19 ,24.49,18.11,96,0.31,10,0%,96,10,9.60,0,0,#DIV/0!,56,5.60,0.18,707.4,372.6,0.684,1,90.00,14218,2548,10517,1519,96 ,10 ,0 ,0 ,56 
P2,P2-1,1.0,,610.2,610.2,1.00 ,1.00 ,610.20 ,610.20 ,1152,0.53,25547,25547,44805,44805,61.07 ,41.87,73.43,774,1.27,56,6%,730,51,14.31,44,5,8.80,105,1.88,0.17,610.2,610.2,1,1,1152.00,25547,25547,44805,44805,730 ,51 ,44 ,5 ,105 
P2,P2-2,1.0,,642.6,76.5,1.00 ,1.00 ,642.60 ,76.50 ,36,2.13,22660,2887,45654,849,103.78 ,35.26,71.05,90,1.18,5,11%,80,4,20.00,10,1,10.00,12,2.40,0.16,642.6,76.5,1,1,36,22660,2887,45654,849,80,4,10,1,12
P2,P2-3,1.0,,691.2,97.2,1.00 ,1.00 ,691.20 ,97.20 ,45,2.16,22965,305,50504,4850,114.56 ,33.22,73.07,115,1.18,5,17%,95,4,23.75,20,1,20.00,15,3.00,0.15,691.2,97.2,1,1,45,22965,305,50504,4850,95,4,20,1,15
P3,P3-1,1.2,7,25.92,25.92,0.92 ,0.94 ,31.10 ,26.72 ,9.84,2.72,819,819,0,0,83.23 ,26.33,0.00,56,2.10,2,100%,0,0,#DIV/0!,56,2,28.00,11,5.50,0.41,25.92,25.92,0.916,0.938,9.84,819,819,0,0,0 ,0 ,56 ,2 ,11 
P3,P3-2,1.2,7,1056,1030,0.90 ,0.94 ,1140.48,1040.09 ,208,5.00,21437,20618,0,0,99.13 ,18.80,0.00,1635,1.57,18,88%,202,3,67.33,1433,15,95.53,142,7.89,0.14,1056,1030,0.9,0.935,208.00,21437,20618,0,0,202 ,3 ,1433 ,15 ,142 
P3,P3-3,1.2,7,1302,246,0.66 ,0.90 ,1031.184,175.35 ,55,3.19,26763,5326,0,0,96.84 ,25.95,0.00,541,3.09,12,66%,183,5,36.60,358,7,51.14,94,7.83,0.54,1302,246,0.66,0.9,55.00,26763,5326,0,0,183 ,5 ,358 ,7 ,94 
P3,P3-4,1.2,7,1496,194,0.66 ,0.90 ,1184.832,138.28 ,61,2.27,33144,27782,0,0,455.44 ,27.97,0.00,902,6.52,9,89%,96,4,24.00,806,5,161.20,53,5.89,0.38,1496,194,0.66,0.9,61.00,33144,27782,0,0,96 ,4 ,806 ,5 ,53 
P5,P5-1,1.0,7,1452.6,1452.6,1.00 ,1.00 ,1452.6,1452.60 ,950,1.53,39475,39475,0,0,41.55 ,27.18,0.00,1346,0.93,90,90%,130,30,4.33,1216,60,20.27,522,5.80,0.36,1452.6,1452.6,1,1,950.00,39475,39475,0,0,130 ,30 ,1216 ,60 ,522 
P5,P5-2,1.0,7,1873.6,421,1.00 ,1.00 ,1873.6,421.00 ,106,3.97,45828,6353,0,0,59.93 ,24.46,0.00,365,0.87,17,75%,90,9,10.00,275,8,34.38,115,6.76,0.27,1873.6,421,1,1,106.00,45828,6353,0,0,90 ,9 ,275 ,8 ,115 
P5,P5-3,1.0,7,1954.6,81,1.00 ,1.00 ,1954.6,81.00 ,53.75,1.51,46641,813,0,0,15.13 ,23.86,0.00,182,2.25,12.5,100%,0,0,#DIV/0!,182,12.5,14.56,32,2.56,0.40,1954.6,81,1,1,53.75,46641,813,0,0,0 ,0 ,182 ,13 ,32 
P5,P5-4,1.0,7,2024.6,70,1.00 ,1.00 ,2024.6,70.00 ,44.26,1.58,49483,2842,0,0,64.21 ,24.44,0.00,64,0.91,12,100%,0,0,0.00,64,12,5.33,52,4.33,0.74,2024.6,70,1,1,44.26,49483,2842,0,0,0 ,0 ,64 ,12 ,52 
P5,P5-5,1.0,7,2067.8,43.2,1.00 ,1.00 ,2067.8,43.20 ,30,1.44,52381,2898,0,0,96.60 ,25.33,0.00,352,8.15,25,99%,4,5,0.16,348,20,17.40,23,0.92,0.53,2067.80,43.20,1.00,1.00,30.00,52381,2898,0,0,4 ,5 ,348 ,20 ,23 
P5,P5-6,1.0,7,2154.2,86.4,0.96 ,0.92 ,2063.7236,76.32 ,52,1.47,55986,3605,0,0,69.33 ,27.13,0.00,115,1.51,17,100%,0,0,0.00,115,17,6.76,30,1.76,0.39,2154.2,86.4,0.958,0.922,52.00,55986,3605,0,0,0 ,0 ,115 ,17 ,30 
P6,P6-1（微服务）,1.4,,4937.5,4937.5,0.90 ,0.90 ,6221.25,5599.13 ,2324.2,2.41,300684,300684,0,0,129.37 ,48.33,0.00,2012,0.36,105,89%,229,35,6.54,1783,70,25.47,796,7.58,0.14,4937.5,4937.5,0.9,0.9,2324.20,300684,300684,0,0,229 ,35 ,1783 ,70 ,796 
P6,P6-2（微服务）2,1.4,,5272.3,334.8,0.90 ,0.90 ,6643.098,379.66 ,174.2,2.18,303765,3081,0,0,17.69 ,45.73,0.00,582,1.53,12,82%,102,9,11.33,480,3,160.00,55,4.58,0.14,5272.3,334.8,0.9,0.9,174.20,303765,3081,0,0,102 ,9 ,480 ,3 ,55 
P6,P6-2（微服务）3,1.4,,5572,299.7,1.00 ,1.00 ,7800.8,419.58 ,151.95,2.76,324589,20826,0,0,137.06 ,41.61,0.00,2298,5.48,19,77%,538,12,44.83,1760,7,251.43,53,2.79,0.13,5572,299.7,1,1,151.95,324589,20826,0,0,538 ,12 ,1760 ,7 ,53 
P6,P6-2（微服务）4,1.4,,5863.6,291.6,1.00 ,0.99 ,8209.04,404.16 ,152.5,2.65,331484,6895,0,0,45.21 ,40.38,0.00,2305,5.70,19.5,75%,587,12,48.92,1718,7.5,229.07,53,2.72,0.13,5863.6,291.6,1,0.99,152.50,331484,6895,0,0,587 ,12 ,1718 ,8 ,53 
P7,P7-1,1.4,,1925,1925,1.00 ,1.00 ,2695,2695.00 ,1606.5,1.68,44888,44888,12122,12122,35.49 ,16.66,4.50,1012,0.38,270,0%,1012,270,3.75,0,0,#DIV/0!,424,1.57,0.16,1925,1925,1,1,1606.50,44888,44888,12122,12122,1012 ,270 ,0 ,0 ,424 
P8,P8-2,1.3,,496.8,59.4,1.00 ,0.77 ,645.84,59.69 ,27.5,2.17,20763,1576,8108,363,70.51 ,32.15,12.55,142,2.38,6,0%,142,6,23.67,0,0,#DIV/0!,20,3.33,0.34,496.8,59.4,1,0.773,27.50,20763,1576,8108,363,142 ,6 ,0 ,0 ,20 
P8,P8-3,1.3,,529.2,108,1.00 ,0.58 ,687.96,80.73 ,44.32,1.82,21860,4186,9070,962,116.16 ,31.78,13.18,194,2.40,6,0%,194,6,32.33,0,0,#DIV/0!,31,5.17,0.38,529.2,108,1,0.575,44.32,21860,4186,9070,962,194 ,6 ,0 ,0 ,31 
P8,P8-4,1.3,,788.4,151.2,1.00 ,0.66 ,1024.92,129.93 ,42.33,3.07,24032,2172,12098,3028,122.84 ,23.45,11.80,298,2.29,4.375,0%,298,4.375,68.11,0,0,#DIV/0!,19,4.34,0.15,788.4,151.2,1,0.661,42.33,24032,2172,12098,3028,298 ,4 ,0 ,0 ,19 
P8,P8-5,1.3,,858.6,162,1.00 ,0.71 ,1116.18,149.10 ,44.125,3.38,19138,-4894,12340,242,-105.43 ,17.15,11.06,172,1.15,6.875,0%,172,6.875,25.02,0,0,#DIV/0!,17,2.47,0.11,858.6,162.00,1.00,0.71,44.13,19138,-4894,12340,242,172 ,7 ,0 ,0 ,17 
P9,P9-1,1.4,,1050,1050,1.00 ,1.00 ,1470,1470.00 ,700,2.10,184134,184134,69595,69595,362.47 ,125.26,47.34,1945,1.32,30,0%,1945,30,64.83,0,0,#DIV/0!,376,12.53,0.26,1050,1050,1,1,700.00,184134,184134,69595,69595,1945 ,30 ,0 ,0 ,376 
P9,P9-2,1.4,,2065,1015,0.72 ,0.72 ,2093.084,744.85 ,40,18.62,187453,3319,146444,76849,2004.20 ,89.56,69.97,562,0.75,10,0%,562,10,56.20,0,0,#DIV/0!,42,4.20,0.06,2065,1015,0.724,0.724,40.00,187453,3319,146444,76849,562 ,10 ,0 ,0 ,42 
P10,P10-1,1.1,,351,351,1.00 ,1.00 ,386.1,386.10 ,220,1.76,21462,21462,6444,6444,126.85 ,55.59,16.69,290,0.75,30,16%,245,27,9.07,45,3,15.00,124,4.13,0.32,351,351,1,1,220.00,21462,21462,6444,6444,245 ,27 ,45 ,3 ,124 
P10,P10-2,1.1,,415.8,64.8,1.00 ,1.00 ,457.38,71.28 ,35,2.04,22878,1416,6611,167,45.23 ,50.02,14.45,42,0.59,5,0%,42,5,8.40,0,0,#DIV/0!,8,1.60,0.11,415.8,64.8,1,1,35.00,22878,1416,6611,167,42 ,5 ,0 ,0 ,8 
P0,MP10,1,7,396.36,63.18,0.712,0.7192,440.694,56.392848,33.5,1.50 ,17662,817.2,0,0,23.94 ,22.0523201,0,82.2,0.37 ,5,0,0,0,#DIV/0!,0,0,#DIV/0!,14.1,1.715294118,0.12 ,396.36,63.18,0.712,0.7192,33.5,17662,817.2,0,0,0,0,0,0,14.1
P0,MP25,1,7,634.5,85.05,0.912,0.9,645.03,76.5,43.67625,1.74 ,21760.5,2454,0,0,45.21 ,24.48023806,0,115 ,0.84 ,6.65625,0,87.5,4,#DIV/0!,0,0,#DIV/0!,22.25,2.538181818,0.14 ,634.5,85.05,0.912,0.9,43.67625,21760.5,2454,0,0,87.5,4,0,0,22.25
P0,MP50,1.2,7,1179,268.8,1,1,1162.656,175.3488,58,2.18 ,29953.5,3462,3222,83.5,76.87 ,28.51038924,2.248979592,325 ,1.30 ,12,0.417825283,136,6.4375,#DIV/0!,50.5,3,#DIV/0!,52.5,4.266666667,0.18 ,1179,268.8,1,1,58,29953.5,3462,3222,83.5,136,6.4375,50.5,3,52.5
P0,MP75,1.325,7,2034.7,468.3,1,1,2064.7427,421,182.65,2.84 ,53282.25,20985,12104,1984,117.83 ,41.6739303,17.04572296,930 ,2.31 ,20.875,0.888029638,258.25,12,#DIV/0!,388.5,9,#DIV/0!,107.5,5.65,0.38 ,2034.7,468.3,1,1,182.65,53282.25,20985,12104,1984,258.25,12,388.5,9,107.5
P0,MP90,1.4,7,5037.94,1170.78,1,1,6347.8044,1456.08,1010.6,3.57 ,301608.3,41098.9,47109,21926.9,204.68 ,51.68976478,70.28968632,1965 ,5.54 ,66.2,1,629.9,31.5,#DIV/0!,1518.5,17.9,#DIV/0!,390.4,7.656666667,0.45 ,5037.94,1170.78,1,1,1010.6,301608.3,41098.9,47109,21926.9,629.9,31.5,1518.5,17.9,390.4
P0,"P75-P25
――――
P50",119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,119%,,,,,,,,,,,,,,
P0,"P75-P25
――――
P51*2",14%,0%,79%,95%,5%,7%,66%,88%,151%,30%,54%,282%,,,52%,,,124%,54%,100%,,61%,170%,,332%,180%,,90%,,43%,,,,,,,,,,,,,,
P0,"P50-P25
――――
P50",9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,,,,,,,,,,,,,,
P0,"P75-P50
――――
P50",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,
